ID,License_Seniority,Name,Sex,Age
244,>5yrs,"Attalah, Mr. Sleiman",male,40.0
639,>5yrs,"Thorneycroft, Mr. Percival",male,
110,0-2yrs,"Porter, Mr. Walter Chamberlain",male,53.0
413,2-5yrs,"Cunningham, Mr. Alfred Fleming",male,
218,0-2yrs,"Bazzani, Miss. Albina",female,41.0
841,2-5yrs,"Mudd, Mr. Thomas Charles",male,29.0
619,2-5yrs,"Gavey, Mr. Lawrence",male,37.0
791,2-5yrs,"Gaskell, Mr. Alfred",male,29.0
314,2-5yrs,"Hart, Mr. Benjamin",male,50.0
543,2-5yrs,"Beane, Mr. Edward",male,41.0
202,>5yrs,"Johanson, Mr. Jakob Alfred",male,43.0
414,>5yrs,"Sundman, Mr. Johan Julian",male,50.0
442,>5yrs,"Petterson, Mr. Johan Emil",male,36.0
557,0-2yrs,"Robbins, Mr. Victor",male,
129,>5yrs,"Ekstrom, Mr. Johan",male,51.0
194,0-2yrs,"Brown, Mrs. James Joseph (Margaret Tobin)",female,50.0
788,>5yrs,"Dean, Master. Bertram Vere",male,18.0
735,>5yrs,"Williams, Mr. Leslie",male,38.0
152,>5yrs,"Meo, Mr. Alfonzo",male,59.0
410,>5yrs,"Sdycoff, Mr. Todor",male,
624,>5yrs,"Bowen, Mr. David John ""Dai""",male,33.0
629,>5yrs,"O'Connell, Mr. Patrick D",male,
222,>5yrs,"Green, Mr. George Henry",male,56.0
27,0-2yrs,"Fortune, Mr. Charles Alexander",male,32.0
613,>5yrs,"Horgan, Mr. John",male,
59,>5yrs,"Goodwin, Master. William Frederick",male,26.0
349,>5yrs,"Dimic, Mr. Jovan",male,49.0
377,0-2yrs,"Widener, Mr. Harry Elkins",male,38.0
788,>5yrs,"Dean, Master. Bertram Vere",male,18.0
44,>5yrs,"Devaney, Miss. Margaret Delia",female,32.0
768,>5yrs,"Moran, Mr. Daniel J",male,
646,>5yrs,"Cor, Mr. Liudevit",male,32.0
711,0-2yrs,"Klaber, Mr. Herman",male,
519,>5yrs,"Pavlovic, Mr. Stefo",male,41.0
327,2-5yrs,"Ball, Mrs. (Ada E Hall)",female,44.0
636,>5yrs,"Leinonen, Mr. Antti Gustaf",male,41.0
576,2-5yrs,"Garside, Miss. Ethel",female,43.0
553,>5yrs,"Leeni, Mr. Fahim (""Philip Zenni"")",male,34.0
91,>5yrs,"Andreasson, Mr. Paul Edvin",male,32.0
447,0-2yrs,"Seward, Mr. Frederic Kimber",male,43.0
